Record Type,Constituent Id,Address ID,Address Type,Primary Flag,Organization Name,Address line 1,Address line 2,Address line 3,Address line 4,City,State,Zip Code,County,District
1C,45186308,HO,P,X,,167 Delgado Junctions,,,,Davidbury,WY,95856,Crawford,15.0
1C,45186309,HO,P,X,,1419 Joanna Junction Apt. 482,,,,South Jasminshire,NY,7545,McLean,13.0
1C,45186310,HO,P,X,,USNS Johnson,,,,New Cynthiaside,ND,69034,McLean,13.0
1C,45186311,HO,S,X,,096 Gomez Squares,,,,Tracyville,NE,27604,Champaign,13.0
1C,45186311,BU,S,,,1420 Ford Plain Suite 607,,,,Brandonside,TX,94500,Champaign,13.0
1C,45186312,HO,P,X,,7875 Joyce Neck,,,,East Michaelchester,HI,76581,Dewitt,13.0
1C,45186314,HO,P,X,,375 Jason Mews Suite 322,,,,Nicoleburgh,VA,61542,McLean,18.0
1C,45186315,HO,P,X,,144 Myers Land,,,,Fergusonland,MN,34400,Lawrence,15.0
1C,45186316,HO,P,X,,572 Cain Valleys,,,,FPO AP 61412,WI,8333,Ford,16.0
1C,45186317,HO,P,X,,USNV Castro,,,,Joshuaview,DC,5281,McHenry,14.0
1C,45186318,HO,P,X,,"PSC 5221, Box 3323",,,,New Ashleyshire,TX,86732,Madison,13.0
1C,45186319,HO,P,X,,1250 Cox Mill,,,,APO AP 89519,TN,45713,Ford,15.0
1C,45186320,HO,P,X,,598 Jonathan Junction Suite 784,,,,South Courtney,ME,50232,Champaign,13.0
1C,45186321,HO,P,X,,50649 Melissa Springs,,,,North Daniellehaven,MO,2368,Dewitt,13.0
1C,45186322,HO,P,X,,9038 Miller Shoal,,,,Port Kevin,MO,45492,McLean,18.0
1C,45186323,HO,P,X,,00148 Shawn Square,,,,North Alexander,KS,44737,Dewitt,13.0
1C,45186324,HO,P,X,,"PSC 3555, Box 4414",,,,Shelbyshire,ME,61083,Champaign,13.0
1C,45186325,HO,P,X,,48136 Gray Loaf,,,,New John,AR,39705,Tazewell,17.0
1C,45186326,HO,P,X,,64156 White Passage Suite 538,,,,West Janeville,NV,2157,McLean,18.0
1C,45186327,HO,P,X,,86410 Pierce Bridge,,,,North Barbarastad,AR,82652,Livingston,16.0
1C,45186328,HO,P,X,,801 Audrey Junction Suite 538,,,,Johnside,OR,40652,Cumberland,15.0
1C,45186329,HO,P,X,,3358 Carter Street,,,,Stoutchester,MA,75682,Moultrie,15.0
1C,45186330,HO,P,X,,8205 Pamela Court Suite 577,,,,New Judy,OK,5318,Douglas,15.0
1C,45186331,HO,P,X,,5722 Green Knolls,,,,Wesleyshire,MD,94858,McLean,18.0
1C,45186332,HO,P,X,,058 Christine Ranch Apt. 829,,,,New Adam,SC,84123,McLean,18.0
1C,45186333,HO,P,X,,884 Hood Via,,,,New Gregoryburgh,IN,15134,Cumberland,15.0
1C,45186334,HO,P,X,,494 Angela Meadow Apt. 268,,,,Smithfort,RI,58034,McLean,18.0
1C,45186335,HO,P,X,,44460 Raymond Drive Apt. 096,,,,Catherineton,KS,71001,Vermilion,15.0
1C,45186336,HO,P,X,,49017 Stephanie Lodge Suite 350,,,,Lake Alexander,SD,34867,McLean,18.0
1C,45186337,HO,P,X,,7815 Morgan Keys,,,,Jonesstad,IA,51710,Livingston,16.0
1C,45186338,HO,P,X,,50953 Todd Park,,,,Port Michaelmouth,AL,81074,McLean,18.0
1C,45186339,HO,P,X,,098 Herman Square,,,,Anaton,CA,1578,McLean,18.0
1C,45186340,HO,P,X,,192 Vasquez Run Apt. 909,,,,Sharonbury,VT,70271,Vermilion,15.0
1C,45186341,HO,P,X,,38211 Fisher Radial,,,,Samuelberg,MN,27529,Champaign,13.0
1C,45186342,HO,P,X,,707 Patricia Isle Apt. 569,,,,Cookside,OR,55374,Champaign,13.0
1C,45186343,HO,P,X,,771 Roach Pass Suite 591,,,,Heatherport,DE,58620,McLean,18.0
1C,45186345,HO,P,X,,8189 Sims Pike,,,,New Jessicatown,AR,88331,McLean,18.0
1C,45186346,HO,P,X,,Unit 8319 Box 4555,,,,Lopezhaven,CT,27014,Champaign,13.0
1C,45186347,HO,P,X,,07991 Chang Street Apt. 251,,,,Collinsshire,SC,44286,Lawrence,15.0
1C,45186348,HO,P,X,,860 Craig Club Suite 463,,,,Mckeeland,NC,7242,Coles,15.0
1C,45186349,HO,P,X,,Unit 7532 Box 2217,,,,Danielborough,IN,42106,Champaign,13.0
1C,45186350,HO,P,X,,903 Avery Pine Suite 096,,,,Myersside,FL,61160,Champaign,13.0
1C,45186351,HO,P,X,,070 Angela Land,,,,North Brenda,OK,75685,Champaign,15.0
1C,45186352,HO,P,X,,1445 Chelsea Road Suite 063,,,,West Tammy,WV,59243,Jersey,13.0
1C,45186353,HO,P,X,,51352 Robert Road,,,,West Tyler,MI,97530,Champaign,13.0
1C,45186355,HO,P,X,,15575 White Port Apt. 410,,,,South Shirleyfort,OH,38257,Champaign,13.0
1C,45186356,HO,P,X,,33812 Whitaker Corners Apt. 741,,,,West Barbara,MI,16060,Clark,15.0
1C,45186357,HO,P,X,,5336 Kevin Station,,,,South Dylanberg,AK,87100,McLean,18.0
1C,45186358,HO,P,X,,2150 Cuevas Dale,,,,North Anneborough,WV,39684,McLean,13.0
1C,45186359,HO,P,X,,91046 Amy Views Apt. 232,,,,Karenview,MI,52757,Champaign,13.0
1C,45186360,HO,P,X,,017 April Path,,,,Martinburgh,NY,61081,Livingston,16.0
1C,45186361,HO,P,X,,20398 Larsen Mews,,,,Port Josephstad,WI,9950,Livingston,16.0
1C,45186362,HO,P,X,,54253 Bell Island Suite 993,,,,FPO AE 02798,OH,31481,Wayne,15.0
1C,45186363,HO,P,X,,0911 Moon Street,,,,Laneport,FL,19133,Livingston,16.0
1C,45186365,HO,P,X,,81793 Herring Road,,,,New Kayla,UT,13944,Piatt,13.0
1C,45186366,HO,P,X,,704 Timothy Spur Suite 347,,,,Lake Emilytown,CT,29209,Clark,15.0
1C,45186367,HO,P,X,,596 Emily Ridge Suite 209,,,,Port David,NH,39993,McLean,18.0
1C,45186368,HO,S,X,,88083 Sosa Village,,,,West Gregory,VT,90473,,13.0
1C,45186368,BU,S,,,7558 Riley Mill Apt. 118,,,,Bishopborough,OK,4530,,
1C,45186368,OT,S,,,7697 Mario Motorway Apt. 058,,,,APO AE 85493,NC,94240,,
1C,45186369,HO,P,X,,24034 Alexander Harbors Apt. 249,,,,New Sharonview,WI,3897,Vermilion,15.0
1C,45186370,HO,P,X,,12265 Leslie Court Apt. 045,,,,Thomasborough,MT,48165,Iroquois,16.0
1C,45186371,HO,P,X,,84540 Donna Mission,,,,Lake Samuelton,KY,88133,Coles,15.0
1C,45186372,HO,P,X,,4138 Williams Ridges,,,,East Dennisfort,OR,23307,Champaign,13.0
1C,45186373,HO,P,X,,7909 Ross Point Apt. 998,,,,New Melissaville,MI,57573,Sangamon,18.0
1C,45186374,HO,P,X,,577 Stacey Mountains,,,,Robertton,MS,80251,Champaign,13.0
1C,45186375,HO,P,X,,952 Jacqueline Path,,,,Larsonfurt,MA,59038,Piatt,13.0
1C,45186376,HO,P,X,,13726 Peters Estate,,,,FPO AA 94900,AL,12834,Livingston,16.0
1C,45186377,HO,P,X,,02312 Brown Manor Apt. 121,,,,APO AP 54704,SC,33283,McLean,18.0
1C,45186378,HO,P,X,,USS Navarro,,,,New Michael,MD,55361,Piatt,13.0
1C,45186379,HO,P,X,,66772 Sweeney Views Suite 991,,,,Jonathanchester,MS,73371,Macon,13.0
1C,45186380,HO,P,X,,8181 Zhang Forks,,,,Lake Christinaside,CA,82158,Champaign,13.0
1C,45186381,HO,P,X,,4243 Carla Unions,,,,North Angela,GA,12608,Champaign,15.0
1C,45186382,HO,P,X,,5151 Jennifer Fords,,,,South Ryan,MN,68418,Vermilion,15.0
1C,45186383,HO,P,X,,15588 Kelley Turnpike,,,,Port Joseph,MA,78256,McLean,18.0
1C,45186384,HO,P,X,,7231 Jones Prairie,,,,South Donna,NV,48793,Coles,15.0
1C,45186385,HO,P,X,,793 Davis Greens,,,,Rogerborough,WI,15772,McLean,18.0
1C,45186386,HO,P,X,,5355 Mullins Fork,,,,East Reginaldtown,KY,33743,McLean,18.0
1C,45186387,HO,P,X,,8528 Padilla Prairie Suite 438,,,,Jameston,ME,70764,Champaign,15.0
1C,45186388,HO,P,X,,221 Michelle Spur Suite 484,,,,West Kimberly,WA,42319,Macon,13.0
1C,45186389,HO,P,X,,5515 Glenn Haven,,,,Michaelafurt,CA,12741,McLean,18.0
1C,45186390,HO,P,X,,3368 Rowe Avenue Apt. 173,,,,New Connie,MO,57097,Sangamon,18.0
1C,45186391,HO,P,X,,Unit 2569 Box 0264,,,,Lake Claudia,CO,38544,Champaign,13.0
1C,45186392,HO,P,X,,8247 Kim Spring,,,,Chapmanstad,DC,95091,Champaign,15.0
1C,45186393,HO,P,X,,1421 Rivas Harbor,,,,Mcneilmouth,ND,52529,Livingston,16.0
1C,45186394,HO,P,X,,84535 David Turnpike Apt. 930,,,,Crawfordbury,RI,60660,Champaign,13.0
1C,45186395,HO,P,X,,983 Sanchez Lane Apt. 402,,,,New Lauren,NJ,39969,McLean,18.0
1C,45186396,HO,P,X,,Unit 6223 Box 1041,,,,Port Karen,CT,98250,Vermilion,15.0
1C,45186397,HO,P,X,,86723 Kim Station,,,,South Andrewland,VA,65580,Vermilion,15.0
1C,45186398,HO,P,X,,574 Ruiz Islands Apt. 368,,,,Susanborough,VA,43308,Champaign,15.0
1C,45186399,HO,P,X,,13304 Scott Crest Suite 131,,,,APO AA 84306,TN,66027,Dewitt,13.0
1C,45186400,HO,P,X,,4270 Gardner Ridges Apt. 863,,,,Nancyborough,MN,57497,McLean,18.0
1C,45186401,HO,P,X,,8783 Wilson Shoals Apt. 858,,,,Kevinberg,NJ,15605,Coles,15.0
1C,45186402,HO,P,X,,88881 Henry Well,,,,Chloeshire,WV,33742,McLean,18.0
1C,45186403,HO,S,X,,USS Hamilton,,,,North Laura,AZ,83702,McLean,18.0
1C,45186403,BU,S,,,4838 Chavez Mountain Apt. 618,,,,South Andrew,LA,16386,,
1C,45186403,OT,S,,,4541 Horton Road Apt. 708,,,,East Jeffrey,CA,41061,,
1C,45186404,HO,P,X,,77421 Martin Villages,,,,North Adam,NH,39413,Champaign,13.0
1C,45186405,HO,P,X,,58169 Owens Center,,,,Christopherfort,MD,34385,Wabash,15.0
1C,45186406,HO,P,X,,6784 Lynn Court,,,,Donaldshire,MS,27763,Champaign,13.0
1C,45186407,HO,P,X,,293 Jaclyn Route Suite 690,,,,Robinsonport,MA,11670,Champaign,13.0
1C,45186408,HO,P,X,,68350 Wright Groves Apt. 186,,,,West Marvinborough,WI,20120,Champaign,13.0
1C,45186409,HO,P,X,,04021 Stephen Course Suite 078,,,,Lisaburgh,NM,84783,Dewitt,13.0
1C,45186410,HO,P,X,,38969 Spencer Villages,,,,Gonzalezland,OK,98100,,15.0
1C,45186411,HO,P,X,,52131 Scott Junctions Apt. 110,,,,North Charles,NH,99170,Clark,15.0
1C,45186412,HO,P,X,,386 David Plaza Suite 132,,,,Jeffreyfort,DC,50769,Macon,13.0
1C,45186413,HO,P,X,,86308 Roman Pass,,,,Robbinsland,AR,3005,McLean,18.0
1C,45186415,HO,P,X,,39411 James Row,,,,Lake Mark,HI,90161,Champaign,13.0
1C,45186416,HO,P,X,,1279 Boyle Green,,,,Port Juanton,NJ,36129,Vermilion,15.0
1C,45186417,HO,P,X,,618 Donald Views Suite 709,,,,New Codyport,OR,14881,McLean,18.0
1C,45186418,HO,P,X,,29446 Turner Club,,,,North Brittany,IL,39758,Champaign,13.0
1C,45186419,HO,P,X,,2881 Garrett Stravenue,,,,North Alanfort,UT,9925,Champaign,13.0
1C,45186420,HO,P,X,,085 Lindsey Street,,,,Nelsonfurt,IL,92609,Macon,13.0
1C,45186421,HO,P,X,,782 Donald Plaza,,,,Sarahstad,AL,83875,McLean,18.0
1C,45186422,HO,P,X,,049 Robert Shores,,,,Taylorshire,SD,66175,Champaign,13.0
1C,45186423,HO,P,X,,3220 Dalton Loaf,,,,Sanchezside,MS,21615,Champaign,15.0
1C,45186424,HO,P,X,,607 Chang Canyon,,,,Port Sara,AL,45600,Cook,7.0
1C,45186425,HO,P,X,,74035 Harper Knolls Apt. 404,,,,Brownview,KS,60755,Champaign,13.0
1C,45186426,HO,P,X,,7193 Lee Wall,Highway 15 East,,,North Pamport,IA,35628,Wayne,15.0
1C,45186427,HO,P,X,,8537 Fitzgerald Prairie Apt. 620,,,,Davismouth,CA,95732,McLean,18.0
1C,45186428,HO,P,X,,46202 Gonzalez Mount Suite 831,,,,New Jerome,CT,36021,Jersey,13.0
1C,45186429,HO,P,X,,0398 Leonard Ranch,,,,West Josemouth,NM,23045,Kankakee,2.0
1C,45186430,HO,P,X,,391 Foster Villages Apt. 196,,,,DPO AA 14849,RI,35964,Wabash,15.0
1C,45186431,HO,P,X,,USS Rodgers,,,,South Katherine,IL,84867,Will,11.0
1C,45186432,HO,P,X,,4522 Harrison Court,,,,Berryshire,WA,27768,Kendall,14.0
1C,45186435,HO,P,X,,0175 Grant Mission Apt. 910,Highway 15 East,,,East Nathanielchester,MD,78533,Wayne,15.0
1C,45186436,HO,P,X,,0739 Clay Keys,,,,North Carla,DC,24092,,
1C,45186437,HO,P,X,,02790 Cooper Parkways,,,,South Claudia,NM,10055,Champaign,13.0
1C,45186438,HO,P,X,,60360 Alicia Cliffs Suite 904,,,,Port Maryside,NM,99194,Sangamon,13.0
1C,45186440,HO,P,X,,8713 Moran Avenue Suite 887,,,,Port Sydney,ND,43633,,
1C,45186441,HO,P,X,,270 Molly Bridge,,,,South Cindy,NH,74152,Cook,5.0
1C,45186442,HO,P,X,,841 Thomas Stream,Campbell Hall for Public Telecommunication,,,North Robinview,MN,76878,Champaign,13.0
1C,45186443,HO,P,X,,"PSC 0472, Box 9660",,,,Erintown,ND,588,McLean,18.0
1C,45186444,HO,P,X,,84572 Valencia Bypass Suite 125,,,,Lake Kayla,ME,98467,Hennepin,3.0
1C,45186445,HO,P,X,,373 Collier View,,,,Hernandezview,RI,36794,McLean,18.0
1C,45186446,HO,S,X,,721 Hayden Ridges Suite 874,,,,Newtonmouth,MA,60855,Dewitt,13.0
1C,45186446,BU,S,,,2099 Sanford Road Apt. 652,,,,Juliastad,NY,49114,Dewitt,13.0
1C,45186447,HO,P,X,,60325 Jones Loop,,,,South Keith,KS,40285,Champaign,13.0
1C,45186448,HO,P,X,,715 Savage Plaza Suite 055,,,,East Lisachester,WI,66324,Coles,15.0
1C,45186449,HO,P,X,,3325 Stephen Hill Suite 368,,,,Luceromouth,KY,68697,District Of Columbia,0.0
1C,45186450,HO,P,X,,"PSC 4448, Box 9474",PO Box 51,,,Simpsonmouth,AK,52828,Douglas,15.0
1C,45186451,HO,P,X,,463 Kayla Cove,,,,New Jaclynville,KS,15556,Ford,16.0
1C,45186452,HO,P,X,,67566 Natasha Cape,,,,Bethfurt,ND,52275,McLean,18.0
1C,45186453,HO,P,X,,604 Moore Corners Suite 216,,,,Burtonport,RI,7297,White,15.0
1C,45186454,HO,P,X,,1864 Jesus Shore Apt. 142,,,,Weaverbury,MD,30576,Piatt,13.0
1C,45186455,HO,P,X,,264 Nunez Trail,,,,New Gina,CT,2982,McLean,18.0
1C,45186456,HO,S,X,,80865 Carter Orchard Apt. 536,,,,Schultzside,HI,34617,Coles,15.0
1C,45186456,BU,S,,,839 Melissa Garden,,,,New Gloria,GA,22995,,
1C,45186456,OT,S,,,459 Cooper Neck,,,,APO AP 24234,NH,55623,,
1C,45186457,HO,P,X,,9086 Veronica Forge,,,,Whiteheadburgh,AL,90063,Champaign,13.0
1C,45186459,HO,P,X,,4421 Daniel Trail Suite 901,,,,East Jeffreyland,MN,85031,Champaign,13.0
1C,45186460,HO,P,X,,403 Knox Flat,,,,APO AA 56228,NC,20018,Macoupin,13.0
1C,45186461,HO,P,X,,9389 Jason Green Apt. 051,,,,South Stephanietown,MS,21450,Coles,15.0
1C,45186462,HO,P,X,,825 Lisa Club Suite 830,,,,North Jared,AK,64938,Macon,13.0
1C,45186463,HO,P,X,,60638 Mitchell Extensions Apt. 159,,,,Jordanton,CA,56044,Champaign,13.0
1C,45186464,HO,P,X,,79987 Barnett Trail,,,,Matthewville,KY,5023,McLean,18.0
1C,45186465,HO,P,X,,2268 Amy Drive,,,,Hoffmantown,NY,95046,Champaign,13.0
1C,45186466,HO,P,X,,477 Oconnell Ford,,,,Port Tracy,MS,72666,Champaign,13.0
1C,45186467,HO,P,X,,6156 Anthony Spring,,,,Meadowsfort,AZ,74551,,
1C,45186468,HO,P,X,,705 Sullivan Mission Suite 838,,,,West Garrettmouth,MA,36856,McLean,18.0
1C,45186469,HO,P,X,,9151 Timothy Falls Suite 806,,,,Glendaport,NM,84386,Champaign,13.0
1C,45186470,HO,P,X,,Unit 4940 Box 9060,,,,Lake Joe,IN,12186,Champaign,13.0
1C,45186471,HO,P,X,,757 Brian Extension Apt. 870,,,,Port Adam,WA,48907,Champaign,13.0
1C,45186472,HO,P,X,,Unit 5717 Box 6902,,,,North Nicole,IL,86594,Champaign,13.0
1C,45186473,HO,P,X,,0827 Allen Summit Apt. 258,,,,South Cameronshire,NY,14058,Edwards,15.0
1C,45186474,HO,P,X,,Unit 0213 Box 8689,,,,New Robertborough,MS,29693,McLean,18.0
1C,45186475,HO,P,X,,4954 White Via,,,,Port William,CO,30007,Champaign,13.0
1C,45186476,HO,P,X,,USS Miller,,,,Conniemouth,FL,17365,Coles,15.0
1C,45186477,HO,S,X,,880 Strong Creek Suite 792,,,,East Gavin,VT,13640,Douglas,15.0
1C,45186477,BU,S,,,8260 Meadows Vista Suite 280,,,,New Chad,AL,39659,,
1C,45186477,OT,S,,,46710 Dennis Lane,,,,East Kenneth,SC,69425,,
1C,45186478,HO,P,X,,00023 James Camp,,,,Lopezborough,SD,86698,Champaign,13.0
1C,45186479,HO,S,X,,599 Welch Harbor Suite 010,,,,South Natashafort,CO,29823,McLean,18.0
1C,45186479,BU,S,,,5732 James Corner,,,,Austinmouth,IL,62728,,
1C,45186479,OT,S,,,697 Nicholas Pike,,,,North Melaniefurt,AL,69954,,
1C,45186480,HO,P,X,,898 Jill Manor Apt. 786,,,,FPO AA 73800,NH,43255,Livingston,16.0
1C,45186481,HO,P,X,,141 Rachel Haven Apt. 270,,,,Rebeccaburgh,LA,18250,Champaign,13.0
1C,45186482,HO,P,X,,63691 Mcclain Shoal,,,,Nicholasburgh,CT,7214,Ford,15.0
1C,45186483,HO,P,X,,443 Johnson Path,,,,DPO AP 63402,ND,47021,Cook,5.0
1C,45186484,HO,P,X,,96335 Charles Burg Apt. 233,,,,East Jasonmouth,FL,1398,McLean,18.0
1C,45186485,HO,P,X,,9542 Lisa Lock Apt. 299,,,,West Brandonland,VA,54736,Champaign,13.0
1C,45186486,HO,P,X,,46299 Moore Squares,,,,North Randyfurt,ND,89196,McLean,18.0
1C,45186487,HO,P,X,,USCGC Dunn,,,,New Stacieside,IN,9153,Champaign,15.0
1C,45186488,HO,P,X,,Unit 1253 Box 0347,,,,Lake Zachary,NJ,10568,Champaign,13.0
1C,45186489,HO,P,X,,054 Porter Isle Apt. 707,,,,Port Matthew,MI,36194,McLean,18.0
1C,45186490,HO,S,X,,14954 Kevin Wells Suite 202,,,,Nelsonbury,WY,40795,Champaign,13.0
1C,45186490,BU,S,,,"PSC 6609, Box 6892",,,,East Eddie,MT,8102,Champaign,13.0
1C,45186491,HO,P,X,,843 Samantha Dam,,,,Blankenshipfort,PA,30161,Crawford,15.0
1C,45186492,HO,P,X,,90499 Kristin Unions,,,,Katherineburgh,DE,86689,McLean,18.0
1C,45186493,HO,P,X,,144 Robertson Brook Apt. 616,,,,FPO AE 59768,NM,92552,Champaign,13.0
1C,45186494,HO,P,X,,658 Antonio Plains,,,,West Amanda,ND,65337,Wabash,15.0
1C,45186495,HO,P,X,,238 Jennifer Lights,,,,South Brenda,NY,41518,Lake,6.0
1C,45186496,HO,P,X,,577 Rachael Fall,,,,South Matthew,AK,76599,Piatt,13.0
1C,45186497,HO,P,X,,21879 Jose Centers Apt. 753,,,,New Jacob,WY,13004,McLean,13.0
1C,45186498,HO,P,X,,29155 Kennedy Trace Suite 532,,,,East Michellestad,IL,79927,McLean,18.0
1C,45186499,HO,P,X,,0204 Porter Field Apt. 107,,,,Port Michael,MS,18002,Champaign,13.0
1C,45186500,HO,P,X,,6692 Adams Fort Apt. 333,,,,West Kimburgh,WI,35659,Champaign,13.0
1C,45186501,HO,P,X,,318 Glover Landing,,,,New Jonathan,AZ,78993,Champaign,13.0
1C,45186502,HO,S,X,,1223 Anderson Circles,,,,Amychester,WY,91001,Champaign,13.0
1C,45186502,BU,S,,,02660 Butler Spring Suite 474,,,,Scottbury,KY,22294,Champaign,13.0
1C,45186504,HO,P,X,,87275 Christopher Ridges Apt. 509,,,,Wrightmouth,GA,93054,McLean,18.0
1C,45186505,HO,P,X,,8342 Rose Street Apt. 022,,,,Lewisfurt,OK,9529,Champaign,13.0
1C,45186506,HO,P,X,,629 Frances Springs,,,,Douglasmouth,FL,56864,Champaign,13.0
1C,45186507,HO,P,X,,874 Curry Cliff,,,,FPO AP 40445,TX,1623,Champaign,15.0
1C,45186508,HO,P,X,,3266 Mclaughlin Overpass Suite 576,,,,West Craigborough,IA,39168,Macon,13.0
1C,45186509,HO,P,X,,5801 Brown Mountain,,,,Peterburgh,TX,11091,McLean,18.0
1C,45186510,HO,S,X,,498 Aaron Junction Suite 108,,,,South Mariefort,WA,69308,Champaign,13.0
1C,45186510,BU,S,,,57400 Connie Hollow,,,,Davidfurt,ME,12540,Champaign,13.0
1C,45186511,HO,P,X,,702 Hale Ridge Apt. 497,,,,Robertsshire,DE,24247,Champaign,13.0
1C,45186512,HO,P,X,,04988 Farmer Lake Suite 259,,,,DPO AE 50492,MT,72757,McLean,18.0
1C,45186513,HO,P,X,,41463 Douglas Rue,,,,Reynoldsburgh,ND,80165,McLean,18.0
1C,45186514,HO,P,X,,754 Charles Neck,,,,Brownstad,NV,31899,Champaign,15.0
1C,45186515,HO,P,X,,7333 Zoe Glen,,,,New Catherineberg,DE,2515,Champaign,13.0
1C,45186516,HO,P,X,,675 Strong Heights Apt. 963,,,,North Samuel,CA,16043,McLean,18.0
1C,45186518,HO,P,X,,331 Susan Summit Suite 362,,,,Lake Coreychester,NV,53530,McLean,18.0
1C,45186519,HO,P,X,,Unit 1088 Box 1442,,,,Brandonville,WY,62115,Champaign,13.0
1C,45186520,HO,P,X,,30732 Gonzalez Wall,,,,Juliebury,AZ,46696,Champaign,13.0
1C,45186521,HO,P,X,,465 Blair Islands Suite 288,,,,East Nicoleville,NM,45109,Champaign,13.0
1C,45186522,HO,P,X,,31481 Anderson Stravenue Apt. 076,,,,Annburgh,WV,5263,Champaign,13.0
1C,45186523,HO,P,X,,971 Castillo Freeway,,,,Lawrenceville,MN,83342,Champaign,15.0
1C,45186524,HO,P,X,,410 Thomas Radial,,,,New Lisabury,GA,49112,Champaign,13.0
1C,45186525,HO,P,X,,513 Ortega Ridge Suite 696,,,,West Tamara,MN,36660,Montgomery,13.0
1C,45186526,HO,P,X,,37153 Hancock Locks,,,,Edwardsmouth,MD,73079,Champaign,15.0
1C,45186527,HO,P,X,,USNS Blackwell,,,,APO AA 88335,UT,92725,Champaign,13.0
1C,45186528,HO,P,X,,128 Miller Viaduct Suite 361,,,,East William,ND,67165,McLean,18.0
1C,45186529,HO,P,X,,400 Andrew Turnpike Apt. 949,,,,North Laura,MD,65431,Livingston,16.0
1C,45186530,HO,P,X,,02929 Howard Square Apt. 040,,,,West Stevenborough,DE,98357,Douglas,15.0
1C,45186531,HO,P,X,,USCGC Farrell,,,,East Natalie,AZ,34944,Douglas,15.0
1C,45186532,HO,P,X,,2204 Steven Stream,,,,APO AE 35580,TX,8252,McLean,18.0
1C,45186533,HO,P,X,,9869 Camacho Lodge Apt. 314,,,,East Steven,AZ,16050,McLean,18.0
1C,45186534,HO,P,X,,14452 Rose Cliffs Suite 870,,,,DPO AP 02047,MO,65016,Champaign,13.0
1C,45186535,HO,P,X,,5668 Blevins Inlet,,,,Josephfort,ID,76936,McLean,13.0
1C,45186536,HO,P,X,,0281 Garcia Via Suite 047,,,,East Nancy,CA,51582,Wake,4.0
1C,45186537,HO,P,X,,USNS Booker,,,,West Clintonland,VA,68679,Champaign,13.0
1C,45186538,HO,P,X,,132 Gonzalez Lights Apt. 015,,,,New Elizabeth,AZ,9006,Shelby,15.0
1C,45186539,HO,P,X,,2581 Rachel Corners,,,,Mayland,NY,36550,Macon,13.0
1C,45186540,HO,P,X,,623 Keith Village Apt. 579,,,,Port Daniel,MT,9208,Champaign,13.0
1C,45186541,HO,P,X,,USCGC Espinoza,,,,Wellsmouth,RI,24773,Champaign,13.0
1C,45186542,HO,P,X,,682 Christopher Knolls,,,,West Emilymouth,WV,13796,McLean,18.0
1C,45186543,HO,P,X,,180 Davis Oval Apt. 700,,,,Shawnamouth,TN,58392,Champaign,13.0
1C,45186544,HO,P,X,,0995 Rivera Shores Suite 300,,,,North Margaretborough,NJ,57401,Clark,15.0
1C,45186545,HO,P,X,,72565 Leah Dam,,,,Youngmouth,NY,78094,Livingston,16.0
1C,45186546,HO,P,X,,066 Evans Orchard,,,,Johnnytown,VA,30471,Livingston,16.0
1C,45186547,HO,P,X,,395 Byrd Extension,,,,APO AA 97160,KY,45605,McLean,13.0
1C,45186548,HO,P,X,,7070 Tammy Groves,,,,DPO AP 04932,AZ,8074,McLean,18.0
1C,45186549,HO,P,X,,4953 Gregory Parkway,,,,Coleside,SD,71140,McLean,18.0
1C,45186550,HO,P,X,,882 Michael Glen,,,,Jonathonborough,AL,8134,Edgar,15.0
1C,45186551,HO,P,X,,3720 Hardin Forest,,,,Tylerberg,AR,28154,McLean,18.0
1C,45186552,HO,P,X,,"PSC 0950, Box 8039",,,,New Robert,ME,66854,Champaign,13.0
1C,45186553,HO,P,X,,4258 Nathan Junctions Apt. 487,,,,South Marystad,SD,68458,McLean,18.0
1C,45186554,HO,P,X,,4435 Cesar Mountain Apt. 143,,,,East Lauratown,AK,41591,McLean,18.0
1C,45186555,HO,P,X,,6506 Arnold Plains,,,,Harveybury,AK,2441,Macon,13.0
1C,45186556,HO,P,X,,297 Sherry Mall,,,,South Leslieberg,NE,78105,Champaign,15.0
1C,45186557,HO,P,X,,43125 Scott Radial Apt. 891,,,,Edwardsfort,MO,14901,Champaign,13.0
1C,45186558,HO,P,X,,99377 Casey Forge,,,,New Curtisport,KS,14733,McLean,18.0
1C,45186559,HO,P,X,,62038 Rebecca Coves,,,,Phillipschester,TN,82197,Ford,16.0
1C,45186560,HO,P,X,,055 Sharp Roads,,,,APO AA 38769,OR,43329,Coles,15.0
1C,45186561,HO,P,X,,238 Brown Meadows Apt. 256,,,,South Andrea,TX,74483,Piatt,13.0
1C,45186562,HO,P,X,,"PSC 3744, Box 5469",,,,Woodfurt,RI,76429,Monmouth,6.0
1C,45186563,HO,P,X,,622 Tanya Gateway,,,,West Eric,NY,80312,McLean,18.0
1C,45186564,HO,S,X,,897 Riley Street,,,,West Erica,KY,99099,McLean,18.0
1C,45186564,BU,S,,,89317 Mercado Glen,,,,East Christopher,AZ,73907,,
1C,45186564,OT,S,,,USCGC Cunningham,,,,Kevinton,TX,18229,,
1C,45186565,HO,P,X,,296 Green Isle Apt. 379,,,,Joneston,DC,30158,Champaign,13.0
1C,45186566,HO,P,X,,62833 Davis Harbors Apt. 365,,,,Coxburgh,ID,96373,Vermilion,15.0
1C,45186567,HO,P,X,,0911 Wong Square Suite 337,,,,North Scottton,ME,49443,Douglas,15.0
