Record Type,Constituent ID,Individual Type,Prefix,First Name,Middle Name,Last Name,Suffix,Appellation,Salutation,Date of Birth,No Mail Flag,Deceased Flag
1A,43618767,CS,Mrs.,Jacqueline,R.,Stephens,,,Mrs. Stephens,,,
1A,43618781,CS,Ms.,Jose, ,Ward,,,Ms. Ward,19111223.0,,
1A,43618785,CS,Mr.,Robert,F.,Ball,,,Mr. Ball,19490313.0,,
1A,43618797,CS,Ms.,Albert,J.,Dapinto,,,Ms. Dapinto,19170613.0,,
1A,43618806,CS,Mrs.,Larry,A.,Howell,III,,Mrs. Howell,,,
1A,43618841,CS,Ms.,Anthony,C.,Spencer,,,Ms. Spencer,19341215.0,,
1A,43618859,CS,Mrs.,Kevin,B.,Bailey,,,Mrs. Bailey,,,
1A,43618881,CS,Mrs.,Cheryl,R.,Walker,Rev,,Mrs. Walker,19350325.0,,
1A,43618882,CS,Ms.,Gretchen, ,Morris,,,Ms. Morris,19570628.0,,
1A,43618997,CS,Ms.,Stephen,M.,Amick,,,Ms. Amick,19761107.0,,
1A,43618998,CS,Mrs.,Jodie,A.,Ormsby,,,Mrs. Ormsby,19160825.0,,
1A,43619046,CS,Mrs.,Barbara, ,Hewitt,,,Mrs. Hewitt,19180723.0,,
1A,43619053,CS,Mrs.,Glory,F.,Canale,,,Mrs. Canale,,,
1A,43619076,CS,Mrs.,Dorris,D.,Barber,,,Mrs. Barber,19460602.0,,
1A,43619094,CS,Ms.,Ryan,J.,Spry,,,Ms. Spry,19480122.0,,
1A,43619101,CS,Mr.,Janet,R.,Combs,,,Mr. Combs,19400523.0,,
1A,43619111,CS,Ms.,Rebecca,Travis,Wizar,JR,,Ms. Wizar,19420913.0,,
1A,43619147,CS,Ms.,Kristina,I.,Cline,,,Ms. Cline,19170230.0,,
1A,43619159,CS,Mrs.,Guadalupe,J.,Hankins,,,Mrs. Hankins,19950619.0,,
1A,43619160,CS,Ms.,Juan,D.,Bordelon,,,Ms. Bordelon,19400829.0,,
1A,43619161,CS,Ms.,Catherine,Kim,Allen,,,Ms. Allen,19381206.0,,
1A,43619183,CS,Mr.,Peter,Kristi,Flores,,,Mr. Flores,,,
1A,43619254,CS,Mrs.,Jeffrey,E.,Crook,,,Mrs. Crook,19571205.0,,
1A,43619279,CS,Ms.,Edith, ,Jackson,,,Ms. Jackson,19400605.0,,
1A,43619282,CS,Mrs.,Timothy, ,Hudson,,,Mrs. Hudson,,,
1A,43619328,CS,Ms.,Benjamin, ,Jackman,,,Ms. Jackman,,,
1A,43619348,CS,Mr.,David,T.,Rideout,SR,,Mr. Rideout,,,
1A,43619407,CS,Ms.,Percy,P.,Waller,,,Ms. Waller,19980708.0,,
1A,43619468,CS,Ms.,Anita,C.,Hunter,,,Ms. Hunter,19340814.0,,
1A,43619496,CS,Ms.,Christina,D.,Ohta,,,Ms. Ohta,,,
1A,43619499,CS,Mrs.,Dena, ,Williams,,,Mrs. Williams,19820213.0,,
1A,43619508,CS,Mr.,Amber,F.,Crossmon,,,Mr. Crossmon,,,
1A,43619518,CS,Mr.,Stanley,N.,Rocha,,,Mr. Rocha,20020719.0,,
1A,43619552,CS,Mrs.,Kenneth, ,Nelson,,,Mrs. Nelson,19740117.0,,
1A,43619585,CS,Mr.,Joseph,D.,Wall,,,Mr. Wall,19750901.0,,
1A,43619591,CS,Mr.,Kurt,H.,Montanez,,,Mr. Montanez,19191125.0,,
1A,43619634,CS,Ms.,Dona,Raymond,Weekly,,,Ms. Weekly,19560624.0,,
1A,43619689,CS,Ms.,John,J.,Rodriguez,,,Ms. Rodriguez,19581206.0,,
1A,43619711,CS,Ms.,Edna,F.,York,,,Ms. York,19271105.0,,
1A,43619792,CS,Mrs.,Archie,L.,Guerrero,,,Mrs. Guerrero,20090214.0,,
1A,43619796,CS,Ms.,Frank,D.,Roane,,,Ms. Roane,19140809.0,,
1A,43619798,CS,Mr.,Lorraine,B.,Sage,,,Mr. Sage,,,
1A,43619803,CS,Mrs.,Juanita,B.,Sugar,,,Mrs. Sugar,,,
1A,43619867,CS,Mrs.,Griselda,R.,Sklar,,,Mrs. Sklar,19270320.0,,
1A,43619895,CS,Mrs.,Jennifer,S.,Moore,,,Mrs. Moore,19821127.0,,
1A,43619915,CS,Mrs.,Robert,J.,Triffo,,,Mrs. Triffo,,,
1A,43619926,CS,Ms.,Cheryl,G.,Martinez,,,Ms. Martinez,19830710.0,,
1A,43619982,CS,Mrs.,Mauricio,H.,Cook,,,Mrs. Cook,19570717.0,,
1A,43619994,CS,Mrs.,Ivory,D.,Bradford,,,Mrs. Bradford,,,
1A,43619999,CS,Mrs.,Sheryl, ,Latham,,,Mrs. Latham,19211004.0,,
1A,43620022,CS,Ms.,Horace, ,Caldwell,JR,,Ms. Caldwell,19590602.0,,
1A,43620023,CS,Mrs.,Molly, ,Zuhlke,,,Mrs. Zuhlke,20050101.0,,
1A,43620074,CS,Mr.,Sue, ,Ly,,,Mr. Ly,19840923.0,,
1A,43620143,CS,Mrs.,Cherie, ,Copstead,,,Mrs. Copstead,20060425.0,,
1A,43620154,CS,Ms.,Scott,M.,Baker,,,Ms. Baker,19511210.0,,
1A,43620250,CS,Mr.,Richard,R.,Kirkland,,,Mr. Kirkland,,,
1A,43620366,CS,Ms.,Margaret,N.,Quitugua,,,Ms. Quitugua,19960715.0,,
1A,43620401,CS,Mrs.,Lara,Christy,Garcia,JR,,Mrs. Garcia,20010418.0,,
1A,43620426,CS,Mr.,Barbara,D.,Robinson,,,Mr. Robinson,19200208.0,,
1A,43620499,CS,Mr.,Holly,J.,Wolfe,,,Mr. Wolfe,20101212.0,,
1A,43620543,CS,Ms.,Dorothy, ,Price,II,,Ms. Price,,,
1A,43620587,CS,Mr.,Lashawnda,W.,Bernhart,,,Mr. Bernhart,19270511.0,,
1A,43620614,CS,Mr.,Elaina,Bobbi,Lovell,,,Mr. Lovell,,,
1A,43620641,CS,Mr.,Nicholas,K.,Figueroa,III,,Mr. Figueroa,19701024.0,,
1A,43620659,CS,Ms.,William,J.,Sanford,,,Ms. Sanford,19310326.0,,
1A,43620705,CS,Ms.,Kimberly,Rowena,Mackey,,,Ms. Mackey,19990606.0,,
1A,43620727,CS,Ms.,Rod, ,Culpepper,,,Ms. Culpepper,19130511.0,,
1A,43620731,CS,Mr.,Rebecca, ,Manley,,,Mr. Manley,19660207.0,,
1A,43620747,CS,Mr.,William,J.,Fraser,,,Mr. Fraser,19260522.0,,
1A,43620751,CS,Mr.,Joshua,Robert,Sanchez,,,Mr. Sanchez,,,
1A,43620789,CS,Mrs.,Chong,Lou,Williams,,,Mrs. Williams,19490425.0,,
1A,43620851,CS,Mr.,Tracey,B.,Manning,,,Mr. Manning,20031108.0,,
1A,43620853,CS,Mrs.,Barbara,D.,Stoner,,,Mrs. Stoner,,,
1A,43620860,CS,Mrs.,Curtis,W.,Williams,,,Mrs. Williams,19251127.0,,
1A,43623184,CS,Mr.,Marjorie,M.,Holman,,,Mr. Holman,20090515.0,,
1A,43624281,CS,Mr.,Alfred,H.,Wilson,,,Mr. Wilson,19570218.0,,
1A,43628329,CS,Ms.,Daniel,Ann,Willoughby,,,Ms. Willoughby,19050326.0,,
1A,43629205,CS,Mrs.,Patrick,P.,Lee,,,Mrs. Lee,19230603.0,,
1A,43632188,CS,Mr.,Tommy, ,Hutnak,,,Mr. Hutnak,,,
1A,43632840,CS,Ms.,David,E.,Call,,,Ms. Call,19890914.0,,
1A,43635053,CS,Mr.,Connie,T.,Vos,,,Mr. Vos,19180421.0,,
1A,43639435,CS,Mr.,Audrey,C.,Rodriguez,Jr.,,Mr. Rodriguez,19960118.0,,
1A,43645906,CS,Mr.,Melody,M.,Mcfadden,,,Mr. Mcfadden,19210931.0,,
1A,43659352,CS,Mrs.,Phyllis,E.,Smith,,,Mrs. Smith,,,
1A,43659423,CS,Mrs.,John,C.,Thomas,,,Mrs. Thomas,,,
1A,43669799,CS,Ms.,Andrew, ,Ortiz,,,Ms. Ortiz,19160303.0,,
1A,43672380,CS,Mrs.,Lori, ,Hagerman,,,Mrs. Hagerman,19930206.0,,
1A,43680152,CS,Ms.,Clifford, ,Cooperrider,,,Ms. Cooperrider,19261109.0,,
1A,43680297,CS,Mrs.,Anita,Chris,Snook,,,Mrs. Snook,19020128.0,,
1A,43683639,CS,Ms.,Beverly,J.,Perez,,,Ms. Perez,19271201.0,,
1A,43688402,CS,Ms.,Monica, ,Little,,,Ms. Little,19530613.0,,
1A,43707300,CS,Mr.,Debbie, ,Haygood,,,Mr. Haygood,19051131.0,,
1A,43721218,CS,Mrs.,Rachel,Jennifer,Jolissaint,,,Mrs. Jolissaint,19950405.0,,
1A,43729156,CS,Mr.,George,T.,Prue,,,Mr. Prue,,,
1A,43730179,CS,Mrs.,Susan,Dawn,Shepherd,,,Mrs. Shepherd,19200503.0,,
1A,43731669,CS,Ms.,Kenneth,R.,Mckinney,,,Ms. Mckinney,19260201.0,,
1A,43738359,CS,Mr.,Rodger,J.,Garza,,,Mr. Garza,,,
1A,43742208,CS,Mr.,Rebecca,E.,Jensen,,,Mr. Jensen,19810326.0,,
1A,43764373,CS,Mrs.,Angela, ,Slawson,,,Mrs. Slawson,,,
1A,43788806,CS,Mrs.,Jacqueline,Tara,Johnson,,,Mrs. Johnson,,,
1A,43792508,CS,Mr.,Joseph,S.,Kirsch,,,Mr. Kirsch,19400302.0,,
1A,43802562,CS,Mrs.,Lucinda,L.,Taylor,,,Mrs. Taylor,20000821.0,,
1A,43821325,CS,Mrs.,Faye,E.,Martin,,,Mrs. Martin,19100305.0,,
1A,43838334,CS,Mr.,Dora,W.,Foster,,,Mr. Foster,19270811.0,,
1A,43874112,CS,Ms.,Gina,D.,Veil,,,Ms. Veil,19810104.0,,
1A,43879695,CS,Mrs.,Wm,L.,Amado,,,Mrs. Amado,19121121.0,,
1A,43884300,CS,Mr.,Darla,Zachary,Fussell,,,Mr. Fussell,19680120.0,,
1A,43889637,CS,Mr.,Jewel,D.,Witherspoon,,,Mr. Witherspoon,20060728.0,,
1A,43894749,CS,Ms.,Francisco,Sidney,Martin,,,Ms. Martin,,,
1A,43903552,CS,Mr.,George,D.,Santamaria,,,Mr. Santamaria,19650603.0,,
1A,43953852,CS,Mr.,Anne,J.,Moore,,,Mr. Moore,,,
1A,43960221,CS,Ms.,Henry,J.,Chandler,,,Ms. Chandler,,,
1A,43965880,CS,Ms.,Miranda,M.,Hoffmann,,,Ms. Hoffmann,19760130.0,,
1A,43970598,CS,Mr.,Kyle,K.,Moe,,,Mr. Moe,,,
1A,43970680,CS,Mrs.,Carolin,A.,Ramberg,,,Mrs. Ramberg,19580720.0,,
1A,43993364,CS,Mr.,Eula, ,Gustafson,,,Mr. Gustafson,19590104.0,,
1A,44163512,CS,Mrs.,Brian, ,Burkhart,,,Mrs. Burkhart,19220525.0,,
1A,44167837,CS,Mrs.,Billy, ,Barnwell,,,Mrs. Barnwell,,,
1A,44167988,CS,Ms.,Patricia,B.,Anderson,,,Ms. Anderson,20050818.0,,
1A,44168012,CS,Mrs.,Isabel,H.,Bell,,,Mrs. Bell,19810824.0,,
1A,44168016,CS,Mrs.,Allen,K.,Marquardt,,,Mrs. Marquardt,19780418.0,,
1A,44168043,CS,Ms.,Devon,J.,Bishop,,,Ms. Bishop,19870405.0,,
1A,44168045,CS,Mrs.,Lawrence,P.,Coleman,,,Mrs. Coleman,19740727.0,,
1A,44168224,CS,Ms.,Gloria, ,Lewis,,,Ms. Lewis,19391019.0,,
1A,44168379,CS,Mr.,Fay,G.,Riebau,,,Mr. Riebau,,,
1A,44168505,CS,Ms.,Sarah,M.,Carroll,,,Ms. Carroll,19371207.0,,
1A,44168508,CS,Ms.,Roger,B.,Cole,,,Ms. Cole,19860402.0,,
1A,44168577,CS,Mr.,Cheri,Ada,Clark,,,Mr. Clark,19350201.0,,
1A,44168609,CS,Mr.,Nettie,M.,Pendergrass,,,Mr. Pendergrass,,,
1A,44168659,CS,Ms.,Holly,L.,Crocker,,,Ms. Crocker,19010307.0,,
1A,44168735,CS,Mrs.,Terry,S.,Carlisle,,,Mrs. Carlisle,19940829.0,,
1A,44168754,CS,Mrs.,Cindy,L.,Guy,,,Mrs. Guy,19410706.0,,
1A,44168774,CS,Mr.,Silvia,Linda,Murphree,,,Mr. Murphree,19880607.0,,
1A,44168958,CS,Ms.,Corey,L.,Kendall,JR,,Ms. Kendall,19970510.0,,
1A,44169029,CS,Ms.,Doris,B.,Brower,,,Ms. Brower,19150920.0,,
1A,44169351,CS,Mr.,Theresa,June,Newman,,,Mr. Newman,19100329.0,,
1A,44169364,CS,Mr.,Thomas,A.,Gonzales,Jr.,,Mr. Gonzales,,,
1A,44169563,CS,Mr.,James,J.,Allen,,,Mr. Allen,19580401.0,,
1A,44169578,CS,Mrs.,Foster,Anna,Mccrae,,,Mrs. Mccrae,19870917.0,,
1A,44169662,CS,Mrs.,Luz,Janet,Pollmann,,,Mrs. Pollmann,19000612.0,,
1A,44169876,CS,Ms.,Agnes,A.,Campos,,,Ms. Campos,,,
1A,44169880,CS,Mr.,Juanita,Robert,Manning,,,Mr. Manning,19410906.0,,
1A,44169899,CS,Ms.,Misty, ,Baine,SR,,Ms. Baine,19430630.0,,
1A,44170093,CS,Mr.,Daniel,Ben,Sheehan,,,Mr. Sheehan,19830103.0,,
1A,44170140,CS,Mrs.,Jenna,T.,Le,,,Mrs. Le,19470722.0,,
1A,44170141,CS,Mr.,Georgia,A.,Dominquez,,,Mr. Dominquez,19240518.0,,
1A,44170186,CS,Ms.,Lori, ,Fansler,,,Ms. Fansler,19370119.0,,
1A,44170200,CS,Mrs.,Adam, ,Griffin,,,Mrs. Griffin,19540115.0,,
1A,44170530,CS,Ms.,Evelyn,I.,Embry,,,Ms. Embry,19250208.0,,
1A,44170592,CS,Mr.,Renee, ,Pollack,,,Mr. Pollack,19320229.0,,
1A,44170759,CS,Mrs.,Mary,L.,Johnston,,,Mrs. Johnston,19461206.0,,
1A,44170792,CS,Ms.,Jose,A.,Ramsour,,,Ms. Ramsour,19440315.0,,
1A,44170890,CS,Ms.,Bess,R.,Adam,,,Ms. Adam,19010515.0,,
1A,44171073,CS,Ms.,Nancy, ,Rickard,,,Ms. Rickard,19380323.0,,
1A,44171084,CS,Mrs.,Heidi, ,Briggs,,,Mrs. Briggs,20030126.0,,
1A,44171139,CS,Mrs.,Angela,Bernard,Kennedy,,,Mrs. Kennedy,,,
1A,44171221,CS,Mrs.,Walter,E.,Gravitt,,,Mrs. Gravitt,19631108.0,,
1A,44171295,CS,Ms.,Francisco,E.,Olson,,,Ms. Olson,19360613.0,,
1A,44171309,CS,Ms.,Paulette, ,Johnson,,,Ms. Johnson,19030505.0,,
1A,44171445,CS,Mr.,Kelly,J.,Sweat,,,Mr. Sweat,19520208.0,,
1A,44171468,CS,Ms.,Jason,H.,Tovar,,,Ms. Tovar,,,
1A,44171541,CS,Ms.,April,Dennis,Baldwin,,,Ms. Baldwin,19470426.0,,
1A,44171615,CS,Ms.,Charles,L.,Pomeranz,,,Ms. Pomeranz,19510622.0,,
1A,44171707,CS,Mrs.,Michael,M.,Lynch,,,Mrs. Lynch,19490202.0,,
1A,44171825,CS,Ms.,Norma,K.,White,,,Ms. White,19090803.0,,
1A,44171828,CS,Mrs.,Rose,C.,Holloway,,,Mrs. Holloway,,,
1A,44171868,CS,Mrs.,Gerald,George,Mutchler,,,Mrs. Mutchler,19020431.0,,
1A,44171906,CS,Mrs.,James,S.,Bonello,,,Mrs. Bonello,19141012.0,,
1A,44172082,CS,Ms.,Lucretia,E.,Barnett,,,Ms. Barnett,19770827.0,,
1A,44172216,CS,Ms.,Richard,N.,Tate,,,Ms. Tate,19881217.0,,
1A,44172217,CS,Mr.,Michaela,Freda,Bosworth,,,Mr. Bosworth,19450721.0,,
1A,44172232,CS,Ms.,Brian, ,Gaytan,,,Ms. Gaytan,,,
1A,44172241,CS,Mr.,Gregory,A.,Grindle,,,Mr. Grindle,19420207.0,,
1A,44172325,CS,Ms.,Luke,T.,Kamuda,,,Ms. Kamuda,19290420.0,,
1A,44172327,CS,Ms.,Lois,Paul,Chisholm,,,Ms. Chisholm,19390121.0,,
1A,44172362,CS,Ms.,Zachary,Jean,Lacy,,,Ms. Lacy,19041123.0,,
1A,44172486,CS,Mr.,Leslie,R.,Spencer,,,Mr. Spencer,19380528.0,,
1A,44172500,CS,Ms.,Mark,C.,Jones,,,Ms. Jones,19680703.0,,
1A,44172504,CS,Mrs.,Fallon,Robert,Waldron,,,Mrs. Waldron,19970512.0,,
1A,44172508,CS,Mrs.,Celina,J.,Riley,,,Mrs. Riley,19251104.0,,
1A,44172511,CS,Ms.,Elaine,Terry,Myers,,,Ms. Myers,,,
1A,44172567,CS,Ms.,Carol,Benny,Pope,,,Ms. Pope,19990303.0,,
1A,44172617,CS,Mr.,Patricia,E.,Garvin,,,Mr. Garvin,19060616.0,,
1A,44172649,CS,Ms.,Martha,S.,Swindell,,,Ms. Swindell,,,
1A,44172650,CS,Mrs.,Joseph,Helen,Conteras,,,Mrs. Conteras,,,
1A,44172743,CS,Ms.,Ronnie,E.,Moore,Jr.,,Ms. Moore,,,
1A,44172841,CS,Mr.,Erin,K.,Ristau,,,Mr. Ristau,20070601.0,,
1A,44172855,CS,Mrs.,Margaret, ,Gunter,JR,,Mrs. Gunter,19170608.0,,
1A,44172901,CS,Ms.,Kenneth,J.,Haley,,,Ms. Haley,19840202.0,,
1A,44172925,CS,Mrs.,Bernice, ,Penatac,,,Mrs. Penatac,,,
1A,44172998,CS,Mrs.,Carmen,J.,Chall,,,Mrs. Chall,,,
1A,44173111,CS,Mr.,Carrie,Robert,Primm,,,Mr. Primm,20060607.0,,
1A,44173302,CS,Ms.,Donald,Stewart,Streeter,,,Ms. Streeter,19260112.0,,
1A,44173553,CS,Mr.,Daniel,Charla,Payton,,,Mr. Payton,19441101.0,,
1A,44173717,CS,Ms.,Gloria,N.,Carmichael,,,Ms. Carmichael,,,
1A,44173864,CS,Mrs.,Felecia,K.,Brown,,,Mrs. Brown,19960226.0,,
1A,44174057,CS,Ms.,Irene,Edward,Ephraim,,,Ms. Ephraim,19170914.0,,
1A,44174106,CS,Mrs.,Albert,R.,Lanasa,,,Mrs. Lanasa,19010205.0,,
1A,44174205,CS,Mrs.,Kevin, ,Lin,,,Mrs. Lin,19011226.0,,
1A,44174230,CS,Mr.,Karin,W.,Boyce,,,Mr. Boyce,19700107.0,,
1A,44174247,CS,Ms.,Michael, ,Lewis,,,Ms. Lewis,19371205.0,,
1A,44174392,CS,Mrs.,Marilyn,Judith,Walker,,,Mrs. Walker,,,
1A,44174443,CS,Mrs.,Sue,L.,Kerr,,,Mrs. Kerr,19110510.0,,
1A,44174476,CS,Ms.,Earl,S.,Davison,,,Ms. Davison,,,
1A,44174539,CS,Mr.,Robert, ,Mckinney,,,Mr. Mckinney,19560414.0,,
1A,44174638,CS,Ms.,Bonnie,Richard,Fox,,,Ms. Fox,,,
1A,44174684,CS,Mrs.,Kevin,Clarence,Wilson,,,Mrs. Wilson,19540205.0,,
1A,44174906,CS,Ms.,Dixie,H.,Manzi,,,Ms. Manzi,19160621.0,,
1A,44174976,CS,Ms.,Vanesa, ,Shuman,,,Ms. Shuman,19150201.0,,
1A,44175228,CS,Mrs.,Jonathan,E.,Hernandez,,,Mrs. Hernandez,19440902.0,,
1A,44175402,CS,Mr.,Nikki,D.,Hicks,,,Mr. Hicks,,,
1A,44175413,CS,Mrs.,Mary,Arthur,Wesler,,,Mrs. Wesler,19540716.0,,
1A,44175548,CS,Mr.,Laura,R.,Moncayo,,,Mr. Moncayo,,,
1A,44175553,CS,Mr.,Michael,R.,Richey,,,Mr. Richey,19250730.0,,
1A,44175557,CS,Ms.,Henry, ,Vashaw,,,Ms. Vashaw,20071024.0,,
1A,44175558,CS,Mr.,Karen,E.,Meade,,,Mr. Meade,,,
1A,44175577,CS,Mr.,Deborah, ,Haertel,,,Mr. Haertel,19270121.0,,
1A,44175593,CS,Mr.,Jennifer,Charles,Westmark,,,Mr. Westmark,19610912.0,,
1A,44175616,CS,Mrs.,Michelle,T.,Gibson,,,Mrs. Gibson,,,
1A,44175843,CS,Mr.,Harold, ,Newell,,,Mr. Newell,19190121.0,,
1A,44175995,CS,Mr.,Catherine,D.,Foutch,,,Mr. Foutch,19920819.0,,
1A,44176212,CS,Mrs.,David, ,Weber,,,Mrs. Weber,,,
1A,44176268,CS,Ms.,Lillian,E.,Erickson,,,Ms. Erickson,19750818.0,,
1A,44176292,CS,Mr.,Francis, ,Bishop,,,Mr. Bishop,19830518.0,,
1A,44176298,CS,Ms.,Brittney,D.,Plumber,,,Ms. Plumber,19330830.0,,
1A,44176312,CS,Mr.,Felix,Philip,Richard,,,Mr. Richard,19730219.0,,
1A,44176431,CS,Ms.,William,C.,Brown,,,Ms. Brown,19520217.0,,
1A,44176573,CS,Mrs.,Phyllis,Richard,Lachenauer,,,Mrs. Lachenauer,19130114.0,,
1A,44176686,CS,Ms.,Courtney, ,Vega,,,Ms. Vega,20030808.0,,
1A,44176784,CS,Ms.,Johnnie,Eileen,Duran,,,Ms. Duran,19700418.0,,
1A,44176836,CS,Mr.,Kevin,Scott,Vallot,,,Mr. Vallot,,,
1A,44176902,CS,Mrs.,Joy,Christine,Burdette,,,Mrs. Burdette,19880324.0,,
1A,44176987,CS,Ms.,Jacob,K.,Castillo,,,Ms. Castillo,19240819.0,,
1A,44177242,CS,Mr.,Ronnie,B.,Halle,,,Mr. Halle,20100216.0,,
1A,44177309,CS,Ms.,Michelle,J.,Rodriguez,,,Ms. Rodriguez,,,
1A,44177397,CS,Ms.,David,B.,Pitts,,,Ms. Pitts,19400117.0,,
1A,44177503,CS,Mr.,Andrew,J.,Torrez,,,Mr. Torrez,19300822.0,,
1A,44177642,CS,Mr.,Robert,Ralph,Thresher,,,Mr. Thresher,20080923.0,,
1A,44177782,CS,Mr.,Raymond,J.,Panza,,,Mr. Panza,19560615.0,,
1A,44177818,CS,Mr.,Jon, ,Parker,,,Mr. Parker,19961112.0,,
1A,44177830,CS,Mr.,Robert,J.,Cochran,,,Mr. Cochran,19961010.0,,
1A,44177837,CS,Mrs.,Tricia,Rodolfo,Butler,,,Mrs. Butler,19781107.0,,
1A,44177899,CS,Mrs.,Nathan,D.,Jackson,,,Mrs. Jackson,19170202.0,,
1A,44178064,CS,Mrs.,Corrine,P.,Williams,,,Mrs. Williams,19081027.0,,
1A,44178106,CS,Ms.,Carol,J.,Henry,,,Ms. Henry,19030319.0,,
1A,44178146,CS,Ms.,Kyle,R.,Haley,,,Ms. Haley,19051115.0,,
1A,44178157,CS,Ms.,Christopher,R.,Gaston,,,Ms. Gaston,19560614.0,,
1A,44178190,CS,Mr.,Bernard, ,Sharp,,,Mr. Sharp,19210508.0,,
1A,44178204,CS,Ms.,Ruth,G.,Mccollum,,,Ms. Mccollum,19450718.0,,
1A,44178205,CS,Ms.,Paula,Alberto,Rempe,,,Ms. Rempe,19480628.0,,
1A,44178209,CS,Mrs.,Anna,Nancy,Herman,,,Mrs. Herman,19320814.0,,
1A,44178233,CS,Mr.,Patricia,M.,Rosenbaum,,,Mr. Rosenbaum,,,
1A,44178241,CS,Ms.,Steven,G.,Henry,,,Ms. Henry,19680617.0,,
1A,44178253,CS,Ms.,Patricia,Brandon,Etheredge,,,Ms. Etheredge,,,
1A,44178268,CS,Mr.,Lino,J.,Hale,Jr.,,Mr. Hale,19540813.0,,
1A,44178292,CS,Ms.,Mary,E.,Taylor,,,Ms. Taylor,19441121.0,,
1A,44178358,CS,Mrs.,Joseph,C.,Yeend,,,Mrs. Yeend,,,
1A,44178361,CS,Mr.,Jack,Lila,Guymon,,,Mr. Guymon,19360103.0,,
1A,44178891,CS,Mr.,Juana, ,Gilkerson,,,Mr. Gilkerson,19170720.0,,
1A,44179000,CS,Mr.,Ryan,Jane,Green,,,Mr. Green,19570130.0,,
1A,44179170,CS,Mrs.,Roy,R.,Byrd,,,Mrs. Byrd,19050517.0,,
1A,44179290,CS,Mrs.,Johnny,L.,Messer,,,Mrs. Messer,19400426.0,,
1A,44179499,CS,Mr.,George,S.,Holman,,,Mr. Holman,19280806.0,,
1A,44179811,CS,Mr.,Rodolfo,P.,Wynn,,,Mr. Wynn,,,
1A,44179831,CS,Mrs.,Patricia, ,Daniels,,,Mrs. Daniels,19160316.0,,
1A,44179848,CS,Mrs.,James,M.,Muzzy,,,Mrs. Muzzy,19190428.0,,
1A,44179880,CS,Ms.,Edward,Emily,Guzman,,,Ms. Guzman,19590725.0,,
1A,44179900,CS,Ms.,Michael, ,Morley,,,Ms. Morley,19860718.0,,
1A,44179964,CS,Ms.,Margaret,H.,Patterson,,,Ms. Patterson,19760231.0,,
1A,44180046,CS,Mrs.,Jenise,C.,Hope,,,Mrs. Hope,19861224.0,,
1A,44180079,CS,Mr.,Geraldine,Mary,Menken,,,Mr. Menken,19920821.0,,
1A,44180271,CS,Mr.,Tina,B.,Lambert,,,Mr. Lambert,,,
1A,44180309,CS,Mr.,Jose,S.,Stoltz,,,Mr. Stoltz,19060218.0,,
1A,44180372,CS,Ms.,Jesus,R.,Mackillop,,,Ms. Mackillop,19120727.0,,
1A,44180404,CS,Mrs.,Daron, ,Alvarez,,,Mrs. Alvarez,19941016.0,,
1A,44180583,CS,Mrs.,Ruby, ,Hirneise,,,Mrs. Hirneise,19110203.0,,
1A,44180681,CS,Mr.,Eric,J.,Obrien,,,Mr. Obrien,19031016.0,,
1A,44180769,CS,Mrs.,Maria,B.,Zhou,,,Mrs. Zhou,19540716.0,,
1A,44180846,CS,Mr.,Donald,Frank,Ramos,,,Mr. Ramos,,,
1A,44180865,CS,Mr.,Derek,P.,Maris,,,Mr. Maris,19700924.0,,
1A,44180977,CS,Mrs.,Earnest,J.,Diaz,,,Mrs. Diaz,19660131.0,,
1A,44180991,CS,Mr.,Willard,H.,Ornelas,,,Mr. Ornelas,19690920.0,,
1A,44181054,CS,Ms.,Kevin,Keith,Meriwether,,,Ms. Meriwether,,,
1A,44181056,CS,Mr.,Allen,L.,Woodward,,,Mr. Woodward,19120927.0,,
1A,44181241,CS,Ms.,Carol,Howard,Jones,,,Ms. Jones,,,
1A,44181261,CS,Ms.,Eleanor,J.,Cox,,,Ms. Cox,19190831.0,,
1A,44181401,CS,Mr.,Mark,C.,Vanalstyne,,,Mr. Vanalstyne,19320219.0,,
1A,44181403,CS,Mr.,Jamie,V.,Dunnigan,,,Mr. Dunnigan,19190616.0,,
1A,44181404,CS,Mrs.,Edna,D.,Valles,,,Mrs. Valles,19090422.0,,
1A,44181492,CS,Mr.,Brian,Alfred,Terrones,,,Mr. Terrones,19700710.0,,
1A,44181509,CS,Mr.,Carol,L.,Mceachern,JR,,Mr. Mceachern,19530819.0,,
1A,44181515,CS,Ms.,Michael,Brain,Arroyo,,,Ms. Arroyo,,,
1A,44181539,CS,Ms.,Nellie,A.,Roach,,,Ms. Roach,19100918.0,,
1A,44181568,CS,Mrs.,Thomas, ,Wallace,,,Mrs. Wallace,19850909.0,,
1A,44181627,CS,Mrs.,Rita,Sandra,Jones,,,Mrs. Jones,19090727.0,,
1A,44181651,CS,Ms.,William,N.,Grimm,,,Ms. Grimm,,,
1A,44181735,CS,Ms.,George,P.,Deleon,Jr.,,Ms. Deleon,20101212.0,,
1A,44181808,CS,Ms.,Ruth,Michael,Correll,,,Ms. Correll,19751005.0,,
1A,44181900,CS,Ms.,John,J.,Carson,,,Ms. Carson,19781213.0,,
1A,44181901,CS,Mrs.,Billy, ,Smith,,,Mrs. Smith,19380806.0,,
1A,44181930,CS,Mr.,George,Latisha,Merlino,,,Mr. Merlino,20040231.0,,
